generator_version,flight_id,service_date,snapshot_hours_before_scheduled_gate_arrival,departure_delay_min,headwind_kts,destination_weather_index,arrival_demand_index,weather_snapshot_age_min,final_gate_wait_min,arrival_delay_min,late_30
build-zero-v1,ASTER-217-2024-01-01,2024-01-01,4,43,36.9,6.0,4.3,6,0,39,1
build-zero-v1,ASTER-217-2024-01-02,2024-01-02,4,-4,29.0,4.7,6.0,26,1,-8,0
build-zero-v1,ASTER-217-2024-01-03,2024-01-03,4,10,29.7,4.5,6.9,33,7,3,0
build-zero-v1,ASTER-217-2024-01-04,2024-01-04,4,21,29.6,3.5,3.4,14,0,0,0
build-zero-v1,ASTER-217-2024-01-05,2024-01-05,4,8,54.5,4.3,5.5,6,0,29,0
build-zero-v1,ASTER-217-2024-01-06,2024-01-06,4,-3,48.3,1.3,2.4,19,0,9,0
build-zero-v1,ASTER-217-2024-01-07,2024-01-07,4,27,52.4,3.1,4.1,2,7,42,1
build-zero-v1,ASTER-217-2024-01-08,2024-01-08,4,-2,27.6,4.5,4.1,51,0,3,0
build-zero-v1,ASTER-217-2024-01-09,2024-01-09,4,0,49.9,1.9,5.3,22,0,11,0
build-zero-v1,ASTER-217-2024-01-10,2024-01-10,4,0,59.3,3.5,4.9,13,0,21,0
build-zero-v1,ASTER-217-2024-01-11,2024-01-11,4,1,50.9,7.1,0.8,10,0,17,0
build-zero-v1,ASTER-217-2024-01-12,2024-01-12,4,1,31.0,5.7,4.3,13,0,2,0
build-zero-v1,ASTER-217-2024-01-13,2024-01-13,4,-5,53.0,2.3,4.9,4,10,22,0
build-zero-v1,ASTER-217-2024-01-14,2024-01-14,4,-1,47.5,6.6,4.5,16,19,46,1
build-zero-v1,ASTER-217-2024-01-15,2024-01-15,4,28,54.4,5.3,4.7,22,11,50,1
build-zero-v1,ASTER-217-2024-01-16,2024-01-16,4,7,48.2,1.5,8.4,10,0,23,0
build-zero-v1,ASTER-217-2024-01-17,2024-01-17,4,2,37.4,0,5.6,5,0,-2,0
build-zero-v1,ASTER-217-2024-01-18,2024-01-18,4,14,13.8,0.2,6.8,7,0,-9,0
build-zero-v1,ASTER-217-2024-01-19,2024-01-19,4,-2,44.0,1.9,4.2,0,0,3,0
build-zero-v1,ASTER-217-2024-01-20,2024-01-20,4,3,30.2,5.7,6.0,5,0,4,0
build-zero-v1,ASTER-217-2024-01-21,2024-01-21,4,1,55.5,5.3,6.0,17,7,31,1
build-zero-v1,ASTER-217-2024-01-22,2024-01-22,4,8,32.0,3.7,4.7,13,3,22,0
build-zero-v1,ASTER-217-2024-01-23,2024-01-23,4,17,22.0,8.0,3.4,13,3,23,0
build-zero-v1,ASTER-217-2024-01-24,2024-01-24,4,10,42.6,0.7,3.1,14,0,1,0
build-zero-v1,ASTER-217-2024-01-25,2024-01-25,4,2,42.4,6.5,7.9,38,8,32,1
build-zero-v1,ASTER-217-2024-01-26,2024-01-26,4,0,52.9,6.0,5.0,8,0,29,0
build-zero-v1,ASTER-217-2024-01-27,2024-01-27,4,-4,30.2,6.2,5.5,5,9,15,0
build-zero-v1,ASTER-217-2024-01-28,2024-01-28,4,24,39.9,0.1,3.9,27,5,15,0
build-zero-v1,ASTER-217-2024-01-29,2024-01-29,4,0,46.0,4.9,8.3,6,0,11,0
build-zero-v1,ASTER-217-2024-01-30,2024-01-30,4,5,39.7,0.0,3.4,23,27,18,0
build-zero-v1,ASTER-217-2024-01-31,2024-01-31,4,25,22.9,5.2,3.7,7,11,20,0
build-zero-v1,ASTER-217-2024-02-01,2024-02-01,4,27,47.9,1.7,0.3,12,0,23,0
build-zero-v1,ASTER-217-2024-02-02,2024-02-02,4,6,25.9,4.1,4.8,3,0,4,0
build-zero-v1,ASTER-217-2024-02-03,2024-02-03,4,10,28.6,1.6,5.3,22,0,10,0
build-zero-v1,ASTER-217-2024-02-04,2024-02-04,4,35,30.6,7.2,5.3,9,9,35,1
build-zero-v1,ASTER-217-2024-02-05,2024-02-05,4,22,34.8,3.9,4.6,6,0,13,0
build-zero-v1,ASTER-217-2024-02-06,2024-02-06,4,13,34.5,5.9,3.9,3,12,33,1
build-zero-v1,ASTER-217-2024-02-07,2024-02-07,4,8,34.9,1.7,7.3,7,1,24,0
build-zero-v1,ASTER-217-2024-02-08,2024-02-08,4,12,40.9,5.3,5.0,44,0,26,0
build-zero-v1,ASTER-217-2024-02-09,2024-02-09,4,50,12.3,8.3,4.7,37,0,31,1
build-zero-v1,ASTER-217-2024-02-10,2024-02-10,4,4,34.6,5.5,8.1,28,0,29,0
build-zero-v1,ASTER-217-2024-02-11,2024-02-11,4,2,4,7.4,4.9,11,0,9,0
build-zero-v1,ASTER-217-2024-02-12,2024-02-12,4,3,20.2,3.5,4.5,11,1,-1,0
build-zero-v1,ASTER-217-2024-02-13,2024-02-13,4,3,28.3,4.6,7.5,39,12,16,0
build-zero-v1,ASTER-217-2024-02-14,2024-02-14,4,4,44.0,5.1,0.8,9,0,16,0
build-zero-v1,ASTER-217-2024-02-15,2024-02-15,4,8,56.7,0.4,7.4,17,47,65,1
build-zero-v1,ASTER-217-2024-02-16,2024-02-16,4,22,39.2,0.7,6.6,7,0,9,0
build-zero-v1,ASTER-217-2024-02-17,2024-02-17,4,6,20.0,6.8,3.9,7,6,14,0
build-zero-v1,ASTER-217-2024-02-18,2024-02-18,4,15,45.2,1.4,7.3,5,0,14,0
build-zero-v1,ASTER-217-2024-02-19,2024-02-19,4,27,36.3,1.1,4.7,2,13,36,1
